,type,id,attributes.bioproject,attributes.accession,attributes.samples-count,attributes.is-private,attributes.secondary-accession,attributes.centre-name,attributes.study-abstract,attributes.study-name,attributes.data-origination,attributes.last-update,relationships.biomes.data
0,studies,MGYS00006026,PRJEB53590,MGYS00006026,14,False,ERP138399,EMG,"The Third Party Annotation (TPA) assembly was derived from the primary whole genome shotgun (WGS) data set PRJNA801070, and was assembled with metaSPAdes v3.15.3. This project includes samples from the following biomes: root:Host-associated:Insecta:Digestive system.",EMG produced TPA metagenomics assembly of PRJNA801070 data set (Superworm (Zophobas morio) gut microbiome metagenomics).,SUBMITTED,2022-06-29T18:39:12,"[{'id': 'root:Host-associated:Insecta:Digestive system', 'type': 'biomes'}]"
1,studies,MGYS00006019,PRJNA422176,MGYS00006019,20,False,SRP126632,KAUST,"The gut bacterial microbiome of honeybee (Apis mellifera) was investigated to evaluate the composition and spatial organization in different gut portions. Adult foragers were collected in the late summer from experimental apiaries located at DISAFA (University of Turin, Italy). Microbiological analyses were performed on the dissected guts compartments (i.e. crop, midgut, ileum and rectum) of honeybee workers. High-throughput sequencing of 16S rRNA gene was used to investigate the bacterial communities associated to the gut compartments of this insect.",Honeybee bacterial community across gut compartments,HARVESTED,2022-05-26T10:45:22,"[{'id': 'root:Host-associated:Insecta:Digestive system', 'type': 'biomes'}]"
2,studies,MGYS00006022,PRJNA422177,MGYS00006022,20,False,SRP126630,KAUST,"The gut fungal microbiome of honeybee (Apis mellifera) was investigated to evaluate the composition and spatial organization in different gut portions. Adult foragers were collected in the late summer from experimental apiaries located at DISAFA (University of Turin, Italy). Microbiological analyses were performed on the dissected guts compartments (i.e. crop, midgut, ileum and rectum) of honeybee workers. High-throughput sequencing of ITS2 region were used to investigate the fungal communities associated to the gut compartments of this insect.",Honeybee fungal community across gut compartments,HARVESTED,2022-05-26T10:36:25,"[{'id': 'root:Host-associated:Insecta:Digestive system', 'type': 'biomes'}]"
3,studies,MGYS00005862,PRJNA660574,MGYS00005862,21,False,SRP279534,IRTA-CReSA,"The microbiome profile of a local population of Anopheles atroparvus from the Ebro Delta, a former malaria transmission area of Spain, is characterized using high-throughput sequencing of the bacterial 16S ribosomal gene V3-V4 regions.",Microbiota of field-caught Anopheles atroparvus,HARVESTED,2022-01-06T15:23:37,"[{'id': 'root:Host-associated:Insecta', 'type': 'biomes'}]"
4,studies,MGYS00005463,PRJEB31429,MGYS00005463,4,False,ERP113989,EMG,The Third Party Annotation (TPA) assembly was derived from the primary whole genome shotgun (WGS) data set: PRJNA407112.  This project includes samples from the following biomes: root:Host-associated:Insecta.,EMG produced TPA metagenomics assembly of the PRJNA407112 data set (Investigating the viral ecology of global bee communities with high-throughput metagenomics).,SUBMITTED,2020-05-22T08:53:19,"[{'id': 'root:Host-associated:Insecta', 'type': 'biomes'}]"
5,studies,MGYS00005464,PRJNA407112,MGYS00005464,3,False,SRP117625,Columbia,"The ecology of bee viruses is complex, as viruses are readily shared among bee species and plants. However, our understanding of bee viral communities is primarily derived from studies of North America and European Apis mellifera honey bee populations. Here, we develop a novel pipeline to rapidly, inexpensively, and robustly screen for bee viruses. This pipeline includes purification of encapsulated RNA/DNA viruses, sequence-independent amplification, high throughput sequencing, integrated assembly of contigs, and screening through a series of filters to identify contigs specifically corresponding to viral sequences. We evaluated samples of honey bees and co-foraging non-Apis bee species (12 bee species in total) from 9 countries and 5 continents. We identified sequences corresponding to (+)ssRNA, (-)ssRNA, dsRNA, and ssDNA viruses. Overall, 127 contigs corresponding to novel viruses (previously not observed in bees), with 29 represented by >0.1% of the reads in a given sample. These 29 contigs corresponded to 9 viral families, including 6 viral families that have not been previously observed in bees. These viruses and viral families were distributed across multiple regions and species. This study provides a robust pipeline for analysis of insect viruses, and greatly expands our understanding of the diversity of viruses found in bee communities.",Investigating the viral ecology of global bee communities with high-throughput metagenomics,HARVESTED,2020-05-22T03:34:31,"[{'id': 'root:Host-associated:Insecta', 'type': 'biomes'}]"
6,studies,MGYS00005215,PRJNA309422,MGYS00005215,424,False,SRP071118,University of Texas,16S rRNA amplicons from corbiculate bee gut community,Corbiculate bee gut amplicons Raw sequence reads,HARVESTED,2020-05-02T01:47:47,"[{'id': 'root:Host-associated:Insecta:Digestive system', 'type': 'biomes'}]"
7,studies,MGYS00005163,PRJEB13694,MGYS00005163,429,False,ERP015256,MAX PLANCK INSTITUTE FOR DEVELOPMENTAL BIOLOGY,"Insects and nematodes represent the most species-rich animal taxa and they occur together in a variety of associations. Necromenic nematodes of the genus Pristionchus are found on scarab beetles with more than 30 species known from worldwide samplings. However, little is known about the dynamics and succession of nematodes and bacteria during the decomposition of beetle carcasses. Here, we study nematode and bacterial succession of the decomposing rhinoceros beetle Oryctes borbonicus on La Reunion Island. We show that Pristionchus pacificus exits the arrested dauer stage seven days after the beetles  death. Surprisingly, new dauers are seen after 11 days suggesting that some worms return to the dauer stage already after one reproductive cycle. We used high-throughput sequencing of the 16S rRNA genes of decaying beetles, beetle guts and nematodes to study bacterial communities in comparison to soil. We find that soil environments have the most diverse bacterial communities. The bacterial community of living and decaying beetles are more stable but one single bacterial family dominates the microbiome of decaying beetles. In contrast, the microbiome of nematodes is relatively similar even across different families. This study represents the first characterization of the dynamics of nematode-bacterial interactions during the decomposition of insects.",Metagenomic analysis of nematode beetle association,SUBMITTED,2020-02-10T10:53:57,"[{'id': 'root:Host-associated:Insecta', 'type': 'biomes'}]"
8,studies,MGYS00001047,PRJNA266104,MGYS00001047,6,False,SRP050069,University of Innsbruck,"Soil dwelling Dipteran larvae of Dilophus febrilis were fed with either one of the food sources cow dung (Bos primigenius taurus), dwarf shrub litter (Vaccinium gaultheroides) and grass litter (Dactylis glomerata). Afterwards the whole gut content of each specimen as well as its feeding source were extracted and analysed using massive parallel sequencing . The aim was to evaluate whether the microbial community in the Dipteran gut is species-specific or diet-related.","Microbiota of Dipteran gut, plant litter and cow dung",HARVESTED,2019-11-07T16:56:18,"[{'id': 'root:Host-associated:Insecta:Digestive system', 'type': 'biomes'}]"
9,studies,MGYS00005050,PRJEB27734,MGYS00005050,4,False,ERP109856,Lawrence Berkeley National Laboratory,"Metagenomic characterization of the 4 gut regions (FG, MG, AHG, PHG) of the passalid beetle Odontotaenius disjunctus. The four gut regions of 4 beetles were paired-end sequenced using the Illumina platform.",Passalid Beetle2,SUBMITTED,2019-06-28T00:00:00,"[{'id': 'root:Host-associated:Insecta:Digestive system', 'type': 'biomes'}]"
